,name,height,weight
0,alex,1.671,51.251
1,ajay,1.817,61.911
2,alice,1.763,69.413
3,ravi,1.733,64.564
4,joe,1.722,65.453
5,alex,1.671,51.251
6,ajay,1.817,61.911
7,alice,1.763,69.413
8,ravi,1.733,64.564
9,joe,1.722,65.453
10,alex,1.671,51.251
11,ajay,1.817,61.911
12,alice,1.763,69.413
13,ravi,1.733,64.564
14,joe,1.722,65.453
15,jack,1.745,55.928
16,tom,1.773,64.179
17,tracy,1.778,61.897
18,john,1.725,50.97
19,jack,1.745,55.928
20,tom,1.773,64.179
21,tracy,1.778,61.897
22,john,1.725,50.97
23,jack,1.745,55.928
24,tom,1.773,64.179
25,tracy,1.778,61.897
26,john,1.725,50.97
27,simon,1.725,50.97
28,jacob,1.696,54.735
29,cindy,1.689,57.81
30,ivan,1.718,51.773
31,simon,1.725,50.97
32,jacob,1.696,54.735
33,cindy,1.689,57.81
34,ivan,1.718,51.773
35,simon,1.725,50.97
36,jacob,1.696,54.735
37,cindy,1.689,57.81
38,ivan,1.718,51.773
